Month,Forecast,CI_Lower,CI_Upper
2026-03-01,152424.18200200156,148135.38191685182,156539.83032828892
2026-04-01,126767.15024242118,122372.79361930127,131150.86271017598
2026-05-01,136546.9776012504,132100.81595988586,141397.27989215794
